,sku,description,retailer,price,dimensions,thickness,width,length,avg_rating,review_count,date,url,image
20,49127,2-in x 12-in x 8-ft Kiln-Dried Whitewood Lumber,Lowes,24.89,"(2.0, 12.0, 8.0)",2.0,12.0,8.0,1.0,1,2021-09-24,,https://da.lowes.ca/webassets/images/49127_01971577_001_m.jpg
21,28512,Canfor 2-in x 4-in x 14-ft Spruce Pine Fir Lumber (Common); 1.5-in x 3.5-in x 14-ft (Actual),Lowes,10.99,"(2.0, 4.0, 14.0)",2.0,4.0,14.0,4.37,89,2021-09-24,,https://da.lowes.ca/webassets/images/28512_08922031_001_m.jpg
22,330614202,2-in x 12-in Kiln-Dried SPF Lumber,Lowes,31.49,"(2.0, 12.0, None)",2.0,12.0,,1.0,1,2021-09-24,,https://da.lowes.ca/webassets/images/49227_01972300_001_m.jpg
23,330614197,1-in x 6-in Western Red Cedar S1S2E Fence Board,Lowes,6.77,"(1.0, 6.0, 1.0)",1.0,6.0,1.0,0.0,0,2021-09-24,,https://da.lowes.ca/webassets/images/333030_04136278_001_m.jpg
24,330614189,2-in x 6-in Western Red Cedar Lumber,Lowes,27.03,"(2.0, 6.0, None)",2.0,6.0,,0.0,0,2021-09-24,,https://da.lowes.ca/webassets/images/4310_05054742_001_m.jpg
25,330614203,2-in x 10-in Kiln-Dried SPF Lumber,Lowes,17.29,"(2.0, 10.0, None)",2.0,10.0,,0.0,0,2021-09-24,,https://da.lowes.ca/webassets/images/43393_02273537_001_m.jpg
26,330614205,2-in x 4-in Kiln-Dried SPF Lumber,Lowes,7.82,"(2.0, 4.0, None)",2.0,4.0,,0.0,0,2021-09-24,,https://da.lowes.ca/webassets/images/27172_02273598_001_m.jpg
27,330614190,2-in x 4-in Western Red Cedar Lumber,Lowes,15.49,"(2.0, 4.0, None)",2.0,4.0,,0.0,0,2021-09-24,,https://da.lowes.ca/webassets/images/4301_05054734_001_m.jpg
28,330614183,5/4-in x 6-in Western Red Cedar Deck Board,Lowes,17.17,"(5.0, 4.0, 6.0)",5.0,4.0,6.0,0.0,0,2021-09-24,,https://da.lowes.ca/webassets/images/5405_05054738_001_m.jpg
29,330614174,6-in x 6-in Western Red Cedar Post,Lowes,120.0,"(6.0, 6.0, None)",6.0,6.0,,0.0,0,2021-09-24,,https://da.lowes.ca/webassets/images/284171_05059390_001_m.jpg
30,330614188,4-in x 4-in Western Red Cedar Post,Lowes,36.39,"(4.0, 4.0, None)",4.0,4.0,,0.0,0,2021-09-24,,https://da.lowes.ca/webassets/images/284151_05059389_001_m.jpg
31,330614191,2-in x 8-in Western Red Cedar Lumber,Lowes,47.13,"(2.0, 8.0, None)",2.0,8.0,,0.0,0,2021-09-24,,https://da.lowes.ca/webassets/images/4319_05059384_001_m.jpg
32,330614172,1-in x 6-in Western Red Cedar S4S Fence Board,Lowes,8.12,"(1.0, 6.0, 4.0)",1.0,6.0,4.0,1.0,2,2021-09-24,,https://da.lowes.ca/webassets/images/284136_05059381_001_m.jpg
33,330614206,2-in x 6-in w/Varying Lengths Kiln-Dried SPF Lumber,Lowes,7.28,"(2.0, 6.0, None)",2.0,6.0,,0.0,0,2021-09-24,,https://da.lowes.ca/webassets/images/30820_02273551_001_m.jpg
34,330614204,2-in x 8-in Kiln-Dried SPF Lumber,Lowes,12.98,"(2.0, 8.0, None)",2.0,8.0,,0.0,0,2021-09-24,,https://da.lowes.ca/webassets/images/36774_02273548_001_m.jpg
